attempt,1_cp,1_score,1_ratio_clip,1_gradient_clip,1_parameter_movement,1_kl,1_kl_stops,1_ppo_steps,1_ppo_delta,1_training_seconds,1_evaluation_seconds,1_total_seconds,1_outcome,1_wins,1_draws,1_losses,2_cp,2_score,2_ratio_clip,2_gradient_clip,2_parameter_movement,2_kl,2_kl_stops,2_ppo_steps,2_ppo_delta,2_training_seconds,2_evaluation_seconds,2_total_seconds,2_outcome,2_wins,2_draws,2_losses,3_cp,3_score,3_ratio_clip,3_gradient_clip,3_parameter_movement,3_kl,3_kl_stops,3_ppo_steps,3_ppo_delta,3_training_seconds,3_evaluation_seconds,3_total_seconds,3_outcome,3_wins,3_draws,3_losses
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.5495,0.08414713541666667,,0.12997060208871888,0.011084397323429585,disabled,2088960,52224,61.157744416967034,32.38083945796825,93.53858387493528,failed-continued,516,67,417
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,0.562,0.09395345052083333,,0.1252783584937712,0.016940398141741753,disabled,2141184,52224,61.25588187505491,32.58704479201697,93.84292666707188,failed-continued,523,78,399
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0.5715,0.09236653645833333,,0.12899426642345307,0.011906713247299194,disabled,2193408,52224,60.88716304197442,32.51866245793644,93.40582549991086,passed,535,73,392
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0.567,0.07906087239583333,,0.12154390525916253,0.010725465603172779,disabled,2245632,52224,61.02011133299675,32.285063500050455,93.3051748330472,failed-continued,532,70,398
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.5345,0.08544921875,,0.12711577513304056,0.01086603756994009,disabled,2297856,52224,61.69041200005449,32.52133333298843,94.21174533304293,failed-continued,495,79,426
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,0.5585,0.10001627604166667,,0.13014647380874744,0.015834979712963104,disabled,2350080,52224,61.15122274996247,32.45814145798795,93.60936420795042,failed-continued,523,71,406
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,0.5605,0.09086100260416667,,0.12283901474351323,0.011360294185578823,disabled,2402304,52224,61.30075816693716,33.33234229206573,94.63310045900289,failed-continued,523,75,402
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,0.5435,0.08964029947916667,,0.11993992079206357,0.013378377072513103,disabled,2454528,52224,61.14354583306704,33.22023499989882,94.36378083296586,failed-continued,509,69,422
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,0.566,0.09598795572916667,,0.12330980703709221,0.014815203845500946,disabled,2506752,52224,61.51828279206529,31.717974334023893,93.23625712608919,failed-continued,529,74,397
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0.548,0.09733072916666667,,0.11950112893975344,0.013659708201885223,disabled,2558976,52224,61.33109320793301,32.799682916956954,94.13077612488996,failed-7-rollback,512,72,416
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,0.5635,0.08357747395833333,,0.1243853225365584,0.011256317608058453,disabled,2245632,52224,61.215594165958464,32.17142391600646,93.38701808196492,failed-continued,525,77,398
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0.5455,0.0830078125,,0.12200444888249963,0.01166048925369978,disabled,2297856,52224,61.09065062494483,32.70296037499793,93.79361099994276,failed-continued,507,77,416
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.5535,0.09541829427083333,,0.12180590949079573,0.013140678405761719,disabled,2350080,52224,61.151204625028186,33.373581041931175,94.52478566695936,failed-continued,516,75,409
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.532,0.09562174479166667,,0.12210262485152108,0.013671151362359524,disabled,2402304,52224,61.19209216698073,33.717137749888934,94.90922991686966,failed-continued,498,68,434
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,0.546,0.09281412760416667,,0.12559784422156184,0.011809666641056538,disabled,2454528,52224,60.81974054209422,32.074257542029954,92.89399808412418,failed-continued,506,80,414
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.574,0.09407552083333333,,0.1282675260265204,0.013810127042233944,disabled,2506752,52224,61.16371120803524,31.9561011249898,93.11981233302504,passed,534,80,386
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,0.544,0.09248860677083333,,0.1199113231403084,0.014943613670766354,disabled,2558976,52224,61.371789083001204,32.443543208995834,93.81533229199704,failed-continued,510,68,422
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0.585,0.0921630859375,,0.12467917226236014,0.01331484317779541,disabled,2611200,52224,61.23935204104055,31.555685958941467,92.79503799998201,passed,545,80,375
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0.5725,0.09549967447916667,,0.12211387919493016,0.01803719252347946,disabled,2663424,52224,61.281234625028446,32.09947191597894,93.38070654100738,failed-continued,533,79,388
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,0.545,0.09891764322916667,,0.12320549217539271,0.016911014914512634,disabled,2715648,52224,61.01679883291945,31.96746841701679,92.98426724993624,failed-continued,511,68,421
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0.541,0.09375,,0.11430974449067735,0.013385546393692493,disabled,2767872,52224,61.36525074997917,31.908602833049372,93.27385358302854,failed-continued,498,86,416
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,0.5675,0.10616048177083333,,0.1189236608907914,0.023915810510516167,disabled,2820096,52224,61.25409966695588,32.516689333016984,93.77078899997286,failed-continued,532,71,397
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0.5575,0.10257975260416667,,0.12178314832127497,0.016184231266379356,disabled,2872320,52224,61.067008208017796,33.07241150003392,94.13941970805172,failed-continued,516,83,401
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0.593,0.10184733072916667,,0.11847967069173922,0.01718824729323387,disabled,2924544,52224,61.201157417031936,32.29702358401846,93.4981810010504,passed,548,90,362
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0.549,0.08353678385416667,,0.1136261535147448,0.011970077641308308,disabled,2976768,52224,61.2495377920568,32.60542475001421,93.85496254207101,failed-continued,512,74,414
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,0.5385,0.10660807291666667,,0.11530640007221316,0.017717525362968445,disabled,3028992,52224,61.09984749997966,32.25940829096362,93.35925579094328,failed-continued,510,57,433
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,0.551,0.10709635416666667,,0.11991570331345056,0.016615644097328186,disabled,3081216,52224,61.28687416703906,31.943324959021993,93.23019912606105,failed-continued,520,62,418
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,0.573,0.0877685546875,,0.1100145321496739,0.015591055154800415,disabled,3133440,52224,60.66521179198753,31.9930586660048,92.65827045799233,failed-continued,533,80,387
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0.568,0.11258951822916667,,0.11935971239687154,0.01803913712501526,disabled,3185664,52224,61.62867000000551,32.236801416031085,93.8654714160366,failed-continued,527,82,391
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,0.6015,0.09554036458333333,,0.11316073708817531,0.014054641127586365,disabled,3237888,52224,61.17894091701601,31.96005570795387,93.13899662496988,passed,575,53,372
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.5685,0.10257975260416667,,0.11232517492800344,0.01583208702504635,disabled,3290112,52224,60.903377459035255,32.236323999939486,93.13970145897474,failed-continued,533,71,396
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,0.5705,0.11568196614583333,,0.10513875900804902,0.01710067130625248,disabled,3342336,52224,61.285954499966465,32.3032194590196,93.58917395898607,failed-continued,529,83,388
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,0.5965,0.10465494791666667,,0.11299180772210696,0.01621113158762455,disabled,3394560,52224,61.37729858304374,32.056367832934484,93.43366641597822,failed-continued,555,83,362
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,0.5575,0.09806315104166667,,0.10881323852916838,0.016043992713093758,disabled,3446784,52224,61.12635879195295,32.268448458984494,93.39480725093745,failed-continued,520,75,405
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,0.5855,0.10038248697916667,,0.10992280396978277,0.01476745679974556,disabled,3499008,52224,61.33804804098327,31.830065457965247,93.16811349894851,failed-continued,543,85,372
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,0.5815,0.11307779947916667,,0.11376592619339294,0.02042500488460064,disabled,3551232,52224,61.047784041962586,32.52792716596741,93.57571120793,failed-continued,549,65,386
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,0.575,0.110595703125,,0.11143471254855697,0.018535299226641655,disabled,3603456,52224,61.19839637505356,33.02054945798591,94.21894583303947,failed-7-rollback,533,84,383
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,0.5265,0.10257975260416667,,0.11240954770353047,0.01708982139825821,disabled,3290112,52224,61.05961929098703,31.975849083042704,93.03546837402973,failed-continued,486,81,433
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,0.5745,0.10526529947916667,,0.10865704551192633,0.016405677422881126,disabled,3342336,52224,60.96595462504774,31.887538625043817,92.85349325009156,failed-continued,540,69,391
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,0.567,0.11568196614583333,,0.10891072873119877,0.018218232318758965,disabled,3394560,52224,61.11637379101012,31.801601665909402,92.91797545691952,failed-continued,533,68,399
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,0.537,0.1143798828125,,0.11189378554090214,0.02031899057328701,disabled,3446784,52224,61.00723216694314,32.60724333289545,93.61447549983859,failed-continued,498,78,424
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.542,0.11348470052083333,,0.10739378282386358,0.018353121355175972,disabled,3499008,52224,61.19552887498867,32.452056291978806,93.64758516696747,failed-continued,505,74,421
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.5665,0.11775716145833333,,0.10891707766419982,0.019573941826820374,disabled,3551232,52224,60.79359795805067,31.775749083026312,92.56934704107698,failed-continued,525,83,392
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0.5835,0.09903971354166667,,0.10686997272344119,0.016016408801078796,disabled,3603456,52224,61.17475054098759,31.876284042024054,93.05103458301164,failed-7-rollback,544,79,377
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.5425,0.09627278645833333,,0.10993955558108724,0.01562222745269537,disabled,3290112,52224,61.17342962499242,32.474197541945614,93.64762716693804,failed-continued,500,85,415
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,0.5965,0.10872395833333333,,0.1133295538388376,0.019409412518143654,disabled,3342336,52224,60.9645772499498,32.556827915948816,93.52140516589861,failed-continued,560,73,367
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,0.5725,0.10298665364583333,,0.1053544138242162,0.016887377947568893,disabled,3394560,52224,61.06938533298671,31.181646000011824,92.25103133299854,failed-continued,537,71,392
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,0.555,0.10099283854166667,,0.10487652365512874,0.019200030714273453,disabled,3446784,52224,61.114271875005215,32.62238829198759,93.7366601669928,failed-continued,513,84,403
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.581,0.10017903645833333,,0.10815034733493249,0.01545670349150896,disabled,3499008,52224,61.490199040970765,32.68705783295445,94.17725687392522,failed-continued,538,86,376
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,0.6025,0.0994873046875,,0.10703031715093161,0.017376787960529327,disabled,3551232,52224,61.329414042062126,32.232554416987114,93.56196845904924,passed,569,67,364
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,0.5835,0.10347493489583333,,0.10623711670466666,0.01953881047666073,disabled,3603456,52224,60.968919207924046,32.43240404210519,93.40132325002924,failed-continued,549,69,382
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,0.5965,0.10201009114583333,,0.10769407770685752,0.017661310732364655,disabled,3655680,52224,61.25641408399679,30.845979750039987,92.10239383403677,failed-continued,558,77,365
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0.596,0.11324055989583333,,0.10656325813915234,0.01938733644783497,disabled,3707904,52224,61.52831583400257,31.52314650011249,93.05146233411506,failed-continued,554,84,362
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0.565,0.10921223958333333,,0.10240491935764992,0.01688218303024769,disabled,3760128,52224,60.867165290983394,32.31346299999859,93.18062829098199,failed-continued,521,88,391
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.585,0.11039225260416667,,0.10222701616789537,0.017863838002085686,disabled,3812352,52224,61.70191516703926,32.6909827090567,94.39289787609596,failed-continued,539,92,369
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,0.598,0.1141357421875,,0.10634655832278321,0.01743193529546261,disabled,3864576,52224,61.05251499998849,32.107582874945365,93.16009787493385,failed-continued,557,82,361
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,0.5635,0.11702473958333333,,0.10717665578471547,0.017106035724282265,disabled,3916800,52224,60.98757549992297,31.906259291921742,92.89383479184471,failed-7-rollback,522,83,395
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,0.5815,0.11149088541666667,,0.10055384832967058,0.019649958238005638,disabled,3603456,52224,61.2135561669711,31.874755042023025,93.08831120899413,failed-continued,544,75,381
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,0.5795,0.09663899739583333,,0.10195539703584869,0.016915617510676384,disabled,3655680,52224,61.41363583295606,31.56842562498059,92.98206145793665,failed-continued,540,79,381
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,0.58,0.116455078125,,0.10476369122976804,0.02613218128681183,disabled,3707904,52224,60.818018166930415,31.3139655420091,92.13198370893952,failed-continued,537,86,377
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,0.5445,0.1187744140625,,0.10975885886882471,0.02098201960325241,disabled,3760128,52224,61.20272399997339,32.85112200002186,94.05384599999525,failed-continued,511,67,422
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,0.5495,0.1126708984375,,0.11377311095186915,0.01679384708404541,disabled,3812352,52224,60.76317587506492,32.45586754195392,93.21904341701884,failed-continued,503,93,404
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,0.555,0.12117513020833333,,0.10535553979908951,0.021497391164302826,disabled,3864576,52224,61.098539583035745,32.63384958298411,93.73238916601986,failed-continued,516,78,406
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,0.5185,0.11258951822916667,,0.10477121012744946,0.01952415145933628,disabled,3916800,52224,61.3996742090676,31.782283084001392,93.18195729306899,failed-7-rollback,480,77,443
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,0.5715,0.11027018229166667,,0.10045807667172459,0.0224965438246727,disabled,3603456,52224,61.08455804095138,31.461037624976598,92.54559566592798,failed-continued,540,63,397
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,0.6015,0.10982259114583333,,0.10333806676355049,0.020469127222895622,disabled,3655680,52224,61.21033966599498,31.36593674996402,92.576276415959,failed-continued,560,83,357
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.5665,0.12434895833333333,,0.10947695268702178,0.01822601817548275,disabled,3707904,52224,61.33532116690185,31.765138000017032,93.10045916691888,failed-continued,532,69,399
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,0.593,0.108154296875,,0.10947311943284121,0.018530914559960365,disabled,3760128,52224,61.69871029094793,31.706645541009493,93.40535583195742,failed-continued,562,62,376
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,0.586,0.10518391927083333,,0.1006131515634219,0.016231726855039597,disabled,3812352,52224,60.84437975008041,31.49286945804488,92.33724920812529,failed-continued,547,78,375
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.582,0.1124267578125,,0.10627124562710562,0.01973450370132923,disabled,3864576,52224,61.449210749939084,31.65485012496356,93.10406087490264,failed-continued,542,80,378
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.579,0.10469563802083333,,0.11124690608044917,0.016324279829859734,disabled,3916800,52224,60.960184458992444,33.07669820799492,94.03688266698737,failed-7-rollback,542,74,384
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,0.5885,0.11376953125,,0.10558693986448285,0.01877623051404953,disabled,3603456,52224,61.381143374950625,31.887166916043498,93.26831029099412,failed-continued,548,81,371
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,0.547,0.107666015625,,0.10689775501236909,0.01671522669494152,disabled,3655680,52224,61.13866137492005,32.25122737500351,93.38988874992356,failed-continued,510,74,416
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,0.5515,0.1138916015625,,0.11085521432777891,0.019407937303185463,disabled,3707904,52224,61.087760958005674,32.35488920903299,93.44265016703866,failed-continued,513,77,410
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,0.5825,0.12223307291666667,,0.10529959370092126,0.02153030037879944,disabled,3760128,52224,60.99137325002812,32.494304417050444,93.48567766707856,failed-continued,545,75,380
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,0.56,0.10164388020833333,,0.10133823222329451,0.014720718376338482,disabled,3812352,52224,60.95196637499612,32.381143625010736,93.33311000000685,failed-continued,520,80,400
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,0.566,0.10774739583333333,,0.09949534868691022,0.016797246411442757,disabled,3864576,52224,61.274867333006114,32.413329583010636,93.68819691601675,failed-continued,533,66,401
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,0.584,0.10994466145833333,,0.1027108332260242,0.02025533653795719,disabled,3916800,52224,61.234844416962005,31.67455441597849,92.9093988329405,failed-7-rollback,544,80,376
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,0.5915,0.1043701171875,,0.10092030984877079,0.01710882969200611,disabled,3603456,52224,61.1109025409678,32.33211554097943,93.44301808194723,failed-continued,563,57,380
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,0.595,0.1107177734375,,0.10417048518902318,0.019022969529032707,disabled,3655680,52224,60.84042424999643,32.85856916708872,93.69899341708515,failed-continued,557,76,367
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,0.5935,0.10774739583333333,,0.10513556135594958,0.019705558195710182,disabled,3707904,52224,60.94339862500783,31.07014025002718,92.01353887503501,failed-continued,554,79,367
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,0.5995,0.1060791015625,,0.10368635518037943,0.019478047266602516,disabled,3760128,52224,60.80541383300442,32.443991540931165,93.24940537393559,failed-continued,566,67,367
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.567,0.10205078125,,0.10247734772208286,0.01873924769461155,disabled,3812352,52224,60.919817958027124,32.590386916999705,93.51020487502683,failed-continued,533,68,399
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,0.5775,0.09586588541666667,,0.10628814013335955,0.015407961793243885,disabled,3864576,52224,60.83572574995924,32.43534554191865,93.27107129187789,failed-continued,534,87,379
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0.558,0.10347493489583333,,0.10175143607806858,0.017577577382326126,disabled,3916800,52224,61.077528959023766,32.47778112499509,93.55531008401886,failed-7-rollback,523,70,407
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,0.63,0.1002197265625,,0.10197278656888185,0.020361151546239853,disabled,3603456,52224,61.02828504203353,31.403942583012395,92.43222762504593,passed,590,80,330
