character,record_type,record_subtype,name,activation_requirement,stack_limit,cp_cost,die_face,rules_text,character_form,potion_slot_limit,summon_cost,companion_limit,unearth_corpse_value,companion_activation_limit,ace_charge_slot_limit
Seraph,Hero Board Ability,Offensive Ability,Glorious,[blade] ×3 + [wings],,,,Gain Flight. Then deal 6 dmg.,All Forms,,,,,,
Seraph,Hero Board Ability,Offensive Ability,Purify,[cross] ×2 + [angelic pendant],,,,"Choose a player. If that player is an opponent, deal 5 undefendable dmg. Otherwise, that player Heals 4. Additionally, you may remove a status effect from that player.",All Forms,,,,,,
Seraph,Hero Board Ability,Offensive Ability,Holy Smite,[blade] + [wings] + [cross] + [angelic pendant],,,,"Roll 4 [dice]: Deal 2 × [blade] undefendable dmg. On [wings], gain Flight. On [cross], gain Cleanse. On [angelic pendant], inflict Blinding Light.",All Forms,,,,,,
Seraph,Hero Board Ability,Offensive Ability,Triumphant,Small Straight,,,,"Deal 6 dmg & roll 1 [die]: On [blade], add 1 dmg. On [wings], add 2 dmg. On [cross], add 3 dmg. On [angelic pendant], this Attack becomes undefendable.",All Forms,,,,,,
Seraph,Hero Board Ability,Offensive Ability,Highest Power,[angelic pendant] ×4,,,,Gain Flight & Holy Presence. Inflict Blinding Light. Then deal 8 dmg.,All Forms,,,,,,
Seraph,Hero Board Ability,Offensive Ability,Archangel's Will,Large Straight,,,,Gain Flight. Inflict Blinding Light. Then deal 8 dmg.,All Forms,,,,,,
Seraph,Hero Board Ability,Defensive Ability,Angelic Mantle,Defense Roll 1 [die],,,,"On [blade], deal 2 dmg. On [wings], prevent 1 dmg. On [cross], prevent 2 dmg. On [angelic pendant], prevent 3 dmg.",All Forms,,,,,,
Seraph,Hero Board Ability,Ultimate Ability,Split the Heavens!,[angelic pendant] ×5,,,,"Gain Flight, Holy Presence, & Blessing of Divinity. Deal 13 dmg. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Holy Blade II / Cherubim,Holy Blade II: [blade] ×3 / [blade] ×4 / [blade] ×5; Cherubim: [blade] ×3 + [angelic pendant],,2,,HOLY BLADE II — [blade] ×3: Deal 6 dmg. [blade] ×4: Deal 7 dmg. [blade] ×5: Deal 8 dmg. CHERUBIM — Gain Flight & Holy Presence.,All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Glorious II / Take Flight,Glorious II: [blade] ×3 + [wings]; Take Flight: [blade] + [wings] ×2,,2,,GLORIOUS II — Gain Flight. Then deal 7 dmg. TAKE FLIGHT — Chosen player gains Flight. Deal 3 undefendable dmg.,All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Angelic Mantle III,Defense Roll 1 [die],,3,,"On [blade], deal 3 dmg. On [wings], gain Flight. On [cross], prevent 2 dmg. On [angelic pendant], prevent 4 dmg. You may choose to re-roll this die 1 time.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Triumphant II,Small Straight,,2,,"Deal 8 dmg & roll 1 [die]: On [blade], add 1 dmg. On [wings], add 2 dmg. On [cross], add 3 dmg. On [angelic pendant], this Attack becomes undefendable.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Angelic Mantle II,Defense Roll 1 [die],,2,,"On [blade], deal 3 dmg. On [wings], gain Flight. On [cross], prevent 2 dmg. On [angelic pendant], prevent 3 dmg.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Archangel's Will II / Heaven's Blessing,Archangel's Will II: Large Straight; Heaven's Blessing: [blade] + [cross] ×2,,2,,ARCHANGEL'S WILL II — Gain Flight. Inflict Blinding Light. Then deal 9 dmg. HEAVEN'S BLESSING — Chosen player gains 2 Cleanse & 2 Flight.,All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Holy Blade III / Cherubim II,Holy Blade III: [blade] ×3 / [blade] ×4 / [blade] ×5; Cherubim II: [blade] ×3 + [angelic pendant],,3,,"HOLY BLADE III — [blade] ×3: Deal 5 dmg. [blade] ×4: Deal 7 dmg. [blade] ×5: Deal 9 dmg. On 4-of-a-kind (#'s), inflict Blinding Light. CHERUBIM II — Gain Cleanse, Flight, & Holy Presence.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Holy Smite II / Holy Command,Holy Smite II: [blade] + [wings] + [cross] + [angelic pendant]; Holy Command: [blade] ×3 + [cross],,2,,"HOLY SMITE II — Roll 4 [dice]: Deal 2 × [blade] undefendable dmg. Gain 1 × [wings] Flight. Gain 1 × [cross] Cleanse. On [angelic pendant], inflict Blinding Light. HOLY COMMAND — Heal 1. Deal 4 undefendable dmg.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Purify II,[cross] ×2 + [angelic pendant],,2,,"Choose a player. You may remove a status effect from this player. If they are an opponent, deal 6 undefendable dmg. Otherwise, they Heal 5.",All Forms,,,,,,
Seraph,Unique Card,Hero Upgrade,Highest Power II / Divine Visage,Highest Power II: [angelic pendant] ×4; Divine Visage: [angelic pendant] ×3,,2,,"HIGHEST POWER II — Gain Flight & Holy Presence. Inflict Blinding Light. Then deal 10 dmg. DIVINE VISAGE — Gain Holy Presence, 2 Flight, & 2 Cleanse. Inflict Blinding Light.",All Forms,,,,,,
Seraph,Unique Card,Main Phase Action,To the Skies!,,,1,,A chosen player gains Flight.,All Forms,,,,,,
Seraph,Unique Card,Roll Phase Action (Attack Modifier),Smote!,,,1,,"Roll 5 [dice]: Add 1 × [blade] to the total dmg. On [angelic pendant], inflict Blinding Light.",All Forms,,,,,,
Seraph,Unique Card,Main Phase Action,Divine Intervention!,,,4,,Gain Holy Presence. Inflict Blinding Light on a chosen player. A chosen player gains 2 Flight. A chosen player gains Cleanse.,All Forms,,,,,,
Seraph,Unique Card,Roll Phase Action (Attack Modifier),Angelic Combat!,,,1,,"Roll 1 [die]: On [blade], add 3 dmg. On [wings], gain Flight. On [cross], gain Cleanse. On [angelic pendant], gain Holy Presence.",All Forms,,,,,,
Vampire Lord,Status Effect,Positive Status Effect,Blood Power,,5,,,"A player with these tokens may spend them to activate each effect once per turn: 1 token: If your Offensive Roll Phase results in an Attack, add 3 dmg. This counts as an Attack Modifier. 2 tokens: Remove a status effect from a chosen player. This effect may only be activated during your Main Phase. 3 tokens: Draw 2 cards. 4 tokens: Heal equal to the amount of damage your Attack successfully dealt. This effect may only be activated during your Roll Phase. If your Attack successfully deals dmg to an opponent inflicted with 2 Bleed tokens, gain Blood Power at the conclusion of your turn.",All Forms,,,,,,
Vampire Lord,Status Effect,Positive Status Effect,Mesmerize,,1,,,"Force an opponent to re-roll a die: A player with this token may spend it and roll 1 [die]. On 5–6, you may force the opponent to re-roll any 1 die.",All Forms,,,,,,
Vampire Lord,Status Effect,Negative Status Effect,Bleed,,2,,,"Roll 1 [die] in Upkeep Phase. On 1–4, receive 1 dmg; otherwise, remove token: A player afflicted with this token must roll 1 [die] during their Upkeep Phase. On 1–4, they are dealt 1 dmg. On 5–6, remove this token.",All Forms,,,,,,
Vampire Lord,Character Die,Die Symbol,Claw,,,,1; 2; 3,Claw.,All Forms,,,,,,
Vampire Lord,Character Die,Die Symbol,Gaze,,,,4; 5,Gaze.,All Forms,,,,,,
Vampire Lord,Character Die,Die Symbol,Droplet,,,,6,Droplet.,All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Gouge,[claw] ×3 / [claw] ×4 / [claw] ×5,,,,"[claw] ×3: Deal 3 dmg. [claw] ×4: Deal 5 dmg. [claw] ×5: Deal 7 dmg. On 4-of-a-kind (#'s), gain Blood Power.",All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Glamour,[gaze] ×3,,,,Gain 1 CP. Gain Mesmerize. Deal 4 undefendable dmg.,All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Sanguimancy,[gaze] ×3 + [droplet],,,,Heal 2. Gain 3 Blood Power.,All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Rend,[claw] ×3 + [droplet] ×2,,,,"Deal 6 dmg. Then roll 3 [dice]: Add 1 × [claw] dmg. On [gaze], draw 1 card. On [droplet], gain Blood Power.",All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Possess,Small Straight,,,,"Deal 7 dmg & roll 1 [die]: On [claw], inflict Bleed. On [gaze] or [droplet], gain Mesmerize.",All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Blood Thirst,[droplet] ×4,,,,Gain 2 Blood Power. Then deal 5 undefendable dmg.,All Forms,,,,,,
Vampire Lord,Hero Board Ability,Offensive Ability,Blood Magic,Large Straight,,,,Gain Blood Power. Inflict Bleed. Then deal 8 dmg. You may spend Mesmerize to make this undefendable dmg.,All Forms,,,,,,
Vampire Lord,Hero Board Ability,Defensive Ability,Immortal Flesh,Defense Roll 3 [dice],,,,"On [claw] ×2, inflict Bleed. On [gaze] ×2, gain Blood Power. Steal 1 Health per [droplet] rolled.",All Forms,,,,,,
Vampire Lord,Hero Board Ability,Ultimate Ability,Exsanguinate!,[droplet] ×5,,,,"Search your deck for any 1 card. Put it into your hand and shuffle your deck. Gain 2 Blood Power. Then deal 10 dmg. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Glamour II / Influence,Glamour II: [gaze] ×3; Influence: [claw] + [gaze] ×2,,2,,GLAMOUR II — Gain 1 CP. Gain Mesmerize. Deal 5 undefendable dmg. INFLUENCE — Gain Mesmerize. Inflict 2 Bleed on a chosen opponent.,All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Possess II / Draw Blood,Possess II: Small Straight; Draw Blood: [claw] ×2 + [droplet],,2,,POSSESS II — Deal 8 dmg. Inflict Bleed or gain Mesmerize. DRAW BLOOD — Gain 2 Blood Power.,All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Rend II,[claw] ×3 + [droplet] ×2,,2,,"Deal 6 dmg. Then roll 5 [dice]: Add 1 × [claw] dmg. On [gaze], draw 1 card. On [droplet], gain Blood Power.",All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Immortal Flesh II,Defense Roll 4 [dice],,2,,"On [claw] ×2, inflict Bleed. On [gaze] ×2, gain Blood Power. Steal 1 Health per [droplet] rolled.",All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Sanguimancy II / Presence,Sanguimancy II: [gaze] ×3 + [droplet]; Presence: [claw] + [gaze] + [droplet] ×2,,2,,SANGUIMANCY II — Heal 3. Gain 3 Blood Power. PRESENCE — Gain 2 Blood Power. Draw 1 card.,All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Blood Thirst II / Hemorrhage,Blood Thirst II: [droplet] ×4; Hemorrhage: [droplet] ×3,,2,,BLOOD THIRST II — Gain 3 Blood Power. Then deal 6 undefendable dmg. HEMORRHAGE — Inflict 2 Bleed. Deal 2 collateral dmg to all opponents.,All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Blood Magic II / Gash,Blood Magic II: Large Straight; Gash: [claw] ×2 + [droplet] ×2,,2,,BLOOD MAGIC II — Gain Blood Power. Inflict Bleed. Then deal 8 undefendable dmg. GASH — Deal 5 undefendable dmg.,All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Gouge II,[claw] ×3 / [claw] ×4 / [claw] ×5,,1,,"[claw] ×3: Deal 3 dmg. [claw] ×4: Deal 5 dmg. [claw] ×5: Deal 7 dmg. On 3-of-a-kind (#'s), gain Blood Power.",All Forms,,,,,,
Vampire Lord,Unique Card,Hero Upgrade,Gouge III,[claw] ×3 / [claw] ×4 / [claw] ×5,,2,,"[claw] ×3: Deal 4 dmg. [claw] ×4: Deal 6 dmg. [claw] ×5: Deal 8 dmg. On 3-of-a-kind (#'s), gain Blood Power.",All Forms,,,,,,
Vampire Lord,Unique Card,Main Phase Action,Dark Omen!,,,4,,Gain Mesmerize & 2 Blood Power. Inflict Bleed on a chosen opponent.,All Forms,,,,,,
Vampire Lord,Unique Card,Roll Phase Action (Attack Modifier),Limb from Limb!,,,1,,"Roll 5 [dice]: Add 1 × [claw] to the total dmg. If at least 3 dmg was added, inflict Bleed.",All Forms,,,,,,
Vampire Lord,Unique Card,Main Phase Action,Consume Blood!,,,0,,Spend up to 2 Blood Power. Then gain 2 CP per Blood Power spent.,All Forms,,,,,,
Vampire Lord,Unique Card,Roll Phase Action (Attack Modifier),Blood Boil!,,,0,,"Add 1 dmg. Additionally, add 1 more dmg per Bleed token the opponent you are Attacking is inflicted with.",All Forms,,,,,,
Vampire Lord,Unique Card,Main Phase Action,Blood Letting!,,,0,,Gain 1 CP & 1 Blood Power.,All Forms,,,,,,
Vampire Lord,Unique Card,Instant Action,Blood Flow!,,,1,,Roll 1 [die]: Gain ½ the value as Blood Power (rounded up).,All Forms,,,,,,
Huntress,Status Effect,Positive Status Effect,Nyra's Bond,,1,,,"Distribute damage received between Huntress & Nyra: If the Huntress is Attacked while Nyra is Active, she may spend this token. If spent, any damage received as a result of your opponent's Attack may be distributed freely between the Huntress and Nyra. Alternatively, this token may be spent at any time to Heal Nyra 2.",All Forms,,,,,,
Huntress,Status Effect,Negative Status Effect,Bleed,,2,,,"Roll 1 [die] in Upkeep Phase. On 1–4, receive 1 dmg; otherwise, remove token: A player afflicted with this token must roll 1 [die] during their Upkeep Phase. On 1–4, they are dealt 1 dmg. On 5–6, remove this token.",All Forms,,,,,,
Huntress,Companion,Companion Rules,Nyra,,,,,"If you are being Attacked while Nyra is Active, you may choose to pass the full amount of this damage to Nyra instead, unless the opponent is Attacking with their Ultimate Ability. If Nyra receives damage, you may still use your Defensive Ability. If Nyra is Active and your Offensive Roll Phase results in an Attack, increase that dmg by 2. If Nyra is Active during your Offensive Roll Phase, you may deal 1 dmg to her and then re-roll 1 [die]. This may only be done once per turn. HERO SETUP — Begin the game with Nyra's Health Dial Active side face up and her health set to 5.",All Forms,,,1,,,
Huntress,Companion,Companion State,Nyra — Active,,,,,"Health Dial starts at 5. If this dial reads 0, immediately flip it over. While Active, Nyra can receive damage, adds 2 dmg when the Huntress's Offensive Roll Phase results in an Attack, and may take 1 dmg to let the Huntress re-roll 1 [die] once per turn.",All Forms,,,1,,,
Huntress,Companion,Companion State,Nyra — Downed,,,,,"During your Upkeep Phase: If this dial reads at least 5, flip it to make Nyra Active. Otherwise, Heal Nyra 1.",All Forms,,,1,,,
Huntress,Character Die,Die Symbol,Spear,,,,1; 2,Spear.,All Forms,,,,,,
Huntress,Character Die,Die Symbol,Claw,,,,3; 4,Claw.,All Forms,,,,,,
Huntress,Character Die,Die Symbol,Bonded Soul,,,,5,Bonded Soul.,All Forms,,,,,,
Huntress,Character Die,Die Symbol,Saber Tooth,,,,6,Saber Tooth.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Animalistic,[spear] ×3 / [spear] ×4 / [spear] ×5,,,,[spear] ×3: Deal 3 dmg. [spear] ×4: Deal 4 dmg. [spear] ×5: Deal 5 dmg.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Savage,[claw] ×3 + [saber tooth],,,,"Deal 4 dmg & roll 1 [die]: On [spear], add 1 dmg. On [claw], add 2 dmg. On [bonded soul], gain Nyra's Bond. On [saber tooth], inflict Bleed.",All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Resuscitate,[bonded soul] ×2,,,,Gain Nyra's Bond. Heal Nyra 3.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Feral Instincts,[spear] ×3 + [bonded soul],,,,Gain Nyra's Bond. Deal 2 undefendable dmg.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Onslaught,Small Straight / Large Straight,,,,SMALL STRAIGHT — Inflict Bleed. Deal 4 dmg. LARGE STRAIGHT — Inflict 2 Bleed. Deal 7 dmg.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Feral,[saber tooth] ×4,,,,Heal Nyra 1. Deal 5 undefendable dmg.,All Forms,,,,,,
Huntress,Hero Board Ability,Offensive Ability,Predatory Advance,[spear] ×2 + [claw] ×2 + [bonded soul],,,,Heal Nyra 1. Deal 5 dmg.,All Forms,,,,,,
Huntress,Hero Board Ability,Defensive Ability,Maternal Bond,Defense Roll 3 [dice],,,,"On [spear], deal 1 dmg. Heal Nyra 1 × [bonded soul]. If Nyra is Active: On [claw], deal 2 dmg.",All Forms,,,,,,
Huntress,Hero Board Ability,Ultimate Ability,Jungle Fury!,[saber tooth] ×5,,,,"Gain Nyra's Bond. Inflict 2 Bleed. Deal 12 dmg. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Animalistic II,[spear] ×3 / [spear] ×4 / [spear] ×5,,2,,"[spear] ×3: Deal 4 dmg. [spear] ×4: Deal 5 dmg. [spear] ×5: Deal 6 dmg. On 4-of-a-kind (#'s), inflict Bleed.",All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Predatory Advance II / Jugular,Predatory Advance II: [spear] ×2 + [claw] ×2 + [bonded soul]; Jugular: [spear] + [claw] + [saber tooth],,2,,PREDATORY ADVANCE II — Heal Nyra 1. Deal 6 dmg. JUGULAR — Inflict 2 Bleed.,All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Feral II / Ferocious,Feral II: [saber tooth] ×4; Ferocious: [saber tooth] ×3,,2,,FERAL II — Heal Nyra 1. Deal 6 undefendable dmg. FEROCIOUS — Heal Nyra 1. Inflict 2 Bleed on a chosen opponent.,All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Maternal Bond II,Defense Roll 4 [dice],,2,,"On [spear], deal 1 dmg. Heal Nyra 1 × [bonded soul]. If Nyra is Active: On [claw], deal 2 dmg.",All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Resuscitate II,[bonded soul] ×2,,2,,Gain Nyra's Bond. Heal Nyra 2 × [bonded soul].,All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Maternal Bond III,Defense Roll 4 [dice],,4,,"Deal 1 × [spear] + 1 × [saber tooth] dmg. Heal Nyra 1 × [bonded soul]. If Nyra is Active: On [claw], deal 2 dmg.",All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Onslaught II,Small Straight / Large Straight,,2,,SMALL STRAIGHT — Inflict Bleed. Deal 5 dmg. LARGE STRAIGHT — Inflict 2 Bleed. Deal 8 dmg.,All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Savage II / Hunt,Savage II: [claw] ×3 + [saber tooth]; Hunt: [claw] ×2 + [saber tooth],,2,,"SAVAGE II — Deal 5 dmg & roll 1 [die]: On [spear], add 1 dmg. On [claw], add 2 dmg. On [bonded soul], gain Nyra's Bond. On [saber tooth], inflict Bleed. HUNT — Inflict Bleed. Deal 3 dmg.",All Forms,,,,,,
Huntress,Unique Card,Hero Upgrade,Feral Instincts II / Swipe,Feral Instincts II: [spear] ×3 + [bonded soul]; Swipe: [spear] ×2 + [saber tooth],,2,,FERAL INSTINCTS II — Gain Nyra's Bond. Deal 3 undefendable dmg. SWIPE — Inflict Bleed on up to three different chosen opponents.,All Forms,,,,,,
Huntress,Unique Card,Roll Phase Action (Attack Modifier),Prowl!,,,0,,"Roll 1 [die]: On [spear], add 1 dmg. On [claw], add 2 dmg. On [bonded soul], Heal Nyra 1. On [saber tooth], add 3 dmg.",All Forms,,,,,,
Huntress,Unique Card,Instant Action,Resilient!,,,1,,Gain Nyra's Bond.,All Forms,,,,,,
Huntress,Unique Card,Roll Phase Action (Attack Modifier),Pounce!,,,0,,"Roll 5 [dice]: Add 1 × [spear] dmg. On [claw], inflict Bleed.",All Forms,,,,,,
Huntress,Unique Card,Main Phase Action,Blood Bond!,,,1,,Roll 3 [dice]: Heal Nyra 1 + 1 × [bonded soul] + 2 × [saber tooth].,All Forms,,,,,,
Huntress,Unique Card,Main Phase Action,Savage Slash!,,,1,,"Choose a player & roll 1 [die]: On [claw] or [saber tooth], inflict 2 Bleed. Otherwise, inflict 1 Bleed.",All Forms,,,,,,
Wolverine,Status Effect,Unique Status Effect,Alpha,,1,,,"Roll 1 [die] and possibly skip Income Phase: When a player is inflicted with this token as a result of an Attack, they and their Attacker each immediately roll 1 [die]. If the Attacker's roll is less, this token is removed. A player afflicted with this token must skip their Income Phase and then remove this token. This token may not be transferred by any means (but can be removed).",All Forms,,,,,,
Wolverine,Status Effect,Positive Status Effect,Rage,,3,,,Spend to add 3 dmg or draw 1 card: A player with this token may: Spend 1 Rage and discard 1 card to add 3 dmg to their Attack. Attack Modifier. Spend 3 Rage to draw 1 card.,All Forms,,,,,,
Wolverine,Character Die,Die Symbol,Claw,,,,1; 2; 3,Claw.,All Forms,,,,,,
Wolverine,Character Die,Die Symbol,Adamantium,,,,4; 5,Adamantium.,All Forms,,,,,,
Wolverine,Character Die,Die Symbol,Mask,,,,6,Mask.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Adamantium Claws,[claw] ×3 / [claw] ×4 / [claw] ×5,,,,"[claw] ×3: Deal 4 dmg. [claw] ×4: Deal 5 dmg. [claw] ×5: Deal 6 dmg. On 3-of-a-kind (#'s), heal 2.",All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Healing Factor,[adamantium] ×3 + [mask],,,,Heal 4. Gain Rage. Draw 1 card.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Regenerate,[claw] ×2 + [mask] ×2,,,,Heal 1. Deal 3 undefendable dmg. You may remove one status effect from yourself.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Hunter,[claw] ×2 + [adamantium] ×3,,,,Draw 1 card. Deal 6 dmg. Roll 4 [dice]. Gain 1 × [mask] Rage.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Barrage,Small Straight / Large Straight,,,,SMALL STRAIGHT — Heal 1. Gain Rage. Then deal 5 dmg. LARGE STRAIGHT — Heal 2. Gain Rage or inflict Alpha. Then deal 7 dmg.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Power Level Nine,[mask] ×4,,,,Heal 1. Gain Rage. Inflict Alpha. Then deal 6 undefendable dmg.,All Forms,,,,,,
Wolverine,Hero Board Ability,Offensive Ability,Severe Threat,[claw] ×3 + [mask] ×2,,,,"Deal 7 dmg and roll 3 [dice]: Add 1 × [claw] dmg. On [adamantium], inflict Alpha. On [mask], add 3 dmg.",All Forms,,,,,,
Wolverine,Hero Board Ability,Defensive Ability,Vengeance,Defense Roll 3 [dice],,,,"Deal 1 × [claw] dmg. On [mask], gain Rage.",All Forms,,,,,,
Wolverine,Hero Board Ability,Ultimate Ability,Berserker Rage!,[mask] ×5,,,,"Heal 3. Gain Rage. Then deal 12 dmg. Dmg from this Attack may be divided among opponents in any way desired. ULTIMATE — Dice may be altered to prevent an Ultimate. Otherwise, no action of any kind may be performed by any opponent until the ability fully completes.",All Forms,,,,,,
Wolverine,Unique Card,Hero Upgrade,Vengeful II,Defense Roll 4 [dice],,2,,"Deal 1 × [claw] dmg. On [mask], gain Rage.",All Forms,,,,,,
Wolverine,Unique Card,Roll Phase Action (Attack Modifier),Fastball Special!,,,1,,Gain Rage. Receive 2 dmg. Add 2 dmg.,All Forms,,,,,,
Wolverine,Unique Card,Hero Upgrade,Severe Threat II,[claw] ×3 + [mask] ×2,,2,,"Deal 7 dmg & roll 5 [dice]: Add 1 × [claw] dmg. On [adamantium], inflict Alpha. On [mask], gain Rage or add 3 dmg.",All Forms,,,,,,
Wolverine,Unique Card,Special Discard Effect,Frenzy,,,,,"If this card is discarded as a result of spending Rage, gain Rage.",All Forms,,,,,,
Wolverine,Unique Card,Roll Phase Action,Is That All You Got!?,,,2,,"Play only after being Attacked. Gain 2 Rage. If you were Attacked with defendable damage, you may choose to skip your Defensive Roll to gain 2 CP.",All Forms,,,,,,
Wolverine,Unique Card,Hero Upgrade,Barrage II,Small Straight / Large Straight,,3,,SMALL STRAIGHT — Heal 1. Gain Rage. Then deal 7 dmg. LARGE STRAIGHT — Heal 2. Gain Rage or inflict Alpha. Then deal 9 dmg.,All Forms,,,,,,
Wolverine,Unique Card,Main Phase Action,Feral!,,,0,,"Roll 1 [die]: On [mask], draw 1 card and gain 2 Rage. On any other outcome, draw 1 card.",All Forms,,,,,,
Wolverine,Unique Card,Main Phase Action,Intimidate!,,,0,,A chosen opponent afflicted with Alpha must discard 1 card or take 4 dmg.,All Forms,,,,,,
Wolverine,Unique Card,Hero Upgrade,Power Level Nine II / Levels Rising,Power Level Nine II: [mask] ×4; Levels Rising: [mask] ×3,,2,,POWER LEVEL NINE II — Heal 2. Gain 2 Rage. Inflict Alpha. Then deal 6 undefendable dmg. LEVELS RISING — Gain 2 Rage. Inflict Alpha. Then deal 1 undefendable dmg.,All Forms,,,,,,
Wolverine,Unique Card,Special Discard Effect,Recovery,,,,,"If this card is discarded as a result of spending Rage, roll 2 [dice]: On [mask], return this card to your hand.",All Forms,,,,,,
Wolverine,Unique Card,Hero Upgrade,Adamantium Claws II,[claw] ×3 / [claw] ×4 / [claw] ×5,,0,,"[claw] ×3: Deal 4 dmg. [claw] ×4: Deal 5 dmg. [claw] ×5: Deal 6 dmg. On 3-of-a-kind (#'s), heal 3. Alternatively, on 4-of-a-kind (#'s), heal 4.",All Forms,,,,,,
Wolverine,Unique Card,Special Discard Effect,Astonishing Frenzy,,,,,"If this card is discarded as a result of spending Rage, increase the damage of that Rage token from 3 to 4. Then gain Rage.",All Forms,,,,,,
Wolverine,Unique Card,Special Discard Effect,Astonishing Recovery,,,,,"If this card is discarded as a result of spending Rage, roll 2 [dice]: On [mask], return this card to your hand. If no [mask] was rolled, heal 2.",All Forms,,,,,,
Storm,Companion,Companion Rules,Lightning,,,,,"Activate ability bonus effects or deal dmg: If an Offensive Ability has the outline of a Lightning token next to its name, it may be Charged. When Lightning is gained, place the token on one of these spaces to Charge that ability. When a Charged ability is activated, you may remove the Lightning from it and activate the Charged Effect. If there are ever two Lightning tokens on a single ability, immediately remove them both and deal 2 as an isolated source of undefendable dmg to a chosen opponent. When multiple Lightning are gained simultaneously, they are placed one at a time and may therefore trigger effects in sequence.",All Forms,,,,,,
Storm,Status Effect,Positive Status Effect,Tornado,,4,,,"Gain opponent's dice for your Roll Attempts: A player with this token may spend it at the start of their Offensive Roll Phase. For each token spent, gain an opponent's die. These dice may be included in all Roll Attempts during this Offensive Roll Phase.",All Forms,,,,,,
Storm,Status Effect,Positive Status Effect,Wind Shear,,1,,,Redirect dmg to any opponent: A player with this token may spend it when being Attacked to prevent 2 incoming dmg. Then choose an opponent to receive 2 as an isolated source of undefendable dmg.,All Forms,,,,,,
Storm,Character Die,Die Symbol,Wind,,,,1; 2; 3,Wind.,All Forms,,,,,,
Storm,Character Die,Die Symbol,Rain,,,,4; 5,Rain.,All Forms,,,,,,
Storm,Character Die,Die Symbol,Cyclone,,,,6,Cyclone.,All Forms,,,,,,
Storm,Hero Board Ability,Offensive Ability,Lightning Field,[wind] ×3 / [wind] ×4 / [wind] ×5,,,,[wind] ×3: Deal 5 dmg. [wind] ×4: Deal 6 dmg. [wind] ×5: Deal 7 dmg. Charged Effect: add 3 dmg.,All Forms,,,,,,
Storm,Hero Board Ability,Offensive Ability,Light It Up,[wind] + [rain] ×2 + [cyclone],,,,"Roll 5 [dice]: Gain 1 × [wind] Lightning. For every [rain] ×2, gain Tornado. Gain 1 × [cyclone] Lightning. Charged Effect: gain Wind Shear.",All Forms,,,,,,
